name,light_years_from_earth,plante_mass,stellar_magnitude,decovery_date 
NGTS-16 b,2930,0.667 Jupiters,14.529,2021
Kepler-6 b,1915,0.668 Jupiters,13.286,2009
Qatar-6 b,329,0.668 Jupiters,11.496,2017
Kepler-15 b,2412,0.66 Jupiters,13.81,2011
KELT-8 b,644,0.66 Jupiters,10.845,2015
HD 170469 b,196,0.66 Jupiters,8.21,2007
HD 141399 e,121,0.66 Jupiters,7.20856,2014
TOI-1899 b,419,0.66 Jupiters,14.88,2020
HAT-P-4 b,1045,0.671 Jupiters,11.118,2007
HATS-28 b,1746,0.672 Jupiters,13.981,2016
TOI-540 b,46,0.674 Earths,14.823,2020
KOI-142 c,1229,0.674 Jupiters,13.209,2013
HD 37124 b,103,0.675 Jupiters,7.68,2002
KELT-10 b,615,0.679 Jupiters,10.617,2016
WASP-22 b,1036,0.67 Jupiters,11.99,2010
HD 211810 b,211,0.67 Jupiters,8.59,2018
OGLE-2018-BLG-1269L b,8188,0.67 Jupiters,17.4,2020
Upsilon Andromedae b,44,0.6876 Jupiters,4.09565,1996
EPIC 201757695.02,1884,0.688 Earths,14.974,2020
HAT-P-32 b,943,0.68 Jupiters,11.439,2011
GJ 832 b,16,0.68 Jupiters,8.66,2008
HD 8535 b,181,0.68 Jupiters,7.7,2010
TRAPPIST-1 e,41,0.692 Earths,17.02,2017
Kepler-197 e,1078,0.693 Earths,11.775,2014
Kepler-1525 b,1249,0.693 Earths,12.797,2016
Kepler-1296 b,5061,0.693 Earths,14.934,2016
WASP-84 b,328,0.694 Jupiters,10.825,2014
Upsilon Andromedae b,44,0.6876 Jupiters,4.09565,1996
EPIC 201757695.02,1884,0.688 Earths,14.974,2020
HAT-P-32 b,943,0.68 Jupiters,11.439,2011
GJ 832 b,16,0.68 Jupiters,8.66,2008
HD 8535 b,181,0.68 Jupiters,7.7,2010
TRAPPIST-1 e,41,0.692 Earths,17.02,2017
Kepler-197 e,1078,0.693 Earths,11.775,2014
Kepler-1525 b,1249,0.693 Earths,12.797,2016
Kepler-1296 b,5061,0.693 Earths,14.934,2016
WASP-84 b,328,0.694 Jupiters,10.825,2014
Kepler-245 c,2810,0.71 Jupiters,15.546,2014
WASP-35 b,660,0.71 Jupiters,10.939,2011
KMT-2017-BLG-1146L b,21203,0.71 Jupiters,,2019
Kepler-119 c,2290,0.721 Earths,14.375,2014
Kepler-1607 b,4195,0.721 Earths,13.969,2016
Kepler-1338 b,2457,0.721 Earths,13.699,2016
Kepler-1365 b,2740,0.721 Earths,13.417,2016
Kepler-1367 b,1310,0.721 Earths,16.012,2016
Kepler-779 b,924,0.721 Earths,16.303,2016
HAT-P-68 b,659,0.724 Jupiters,13.802,2020
Kepler-245 c,2810,0.71 Jupiters,15.546,2014
WASP-35 b,660,0.71 Jupiters,10.939,2011
KMT-2017-BLG-1146L b,21203,0.71 Jupiters,,2019
Kepler-119 c,2290,0.721 Earths,14.375,2014
Kepler-1607 b,4195,0.721 Earths,13.969,2016
Kepler-1338 b,2457,0.721 Earths,13.699,2016
Kepler-1365 b,2740,0.721 Earths,13.417,2016
Kepler-1367 b,1310,0.721 Earths,16.012,2016
Kepler-779 b,924,0.721 Earths,16.303,2016
HAT-P-68 b,659,0.724 Jupiters,13.802,2020
Kepler-245 c,2810,0.71 Jupiters,15.546,2014
WASP-35 b,660,0.71 Jupiters,10.939,2011
KMT-2017-BLG-1146L b,21203,0.71 Jupiters,,2019
Kepler-119 c,2290,0.721 Earths,14.375,2014
Kepler-1607 b,4195,0.721 Earths,13.969,2016
Kepler-1338 b,2457,0.721 Earths,13.699,2016
Kepler-1365 b,2740,0.721 Earths,13.417,2016
Kepler-1367 b,1310,0.721 Earths,16.012,2016
Kepler-779 b,924,0.721 Earths,16.303,2016
HAT-P-68 b,659,0.724 Jupiters,13.802,2020
Kepler-245 c,2810,0.71 Jupiters,15.546,2014
WASP-35 b,660,0.71 Jupiters,10.939,2011
KMT-2017-BLG-1146L b,21203,0.71 Jupiters,,2019
Kepler-119 c,2290,0.721 Earths,14.375,2014
Kepler-1607 b,4195,0.721 Earths,13.969,2016
Kepler-1338 b,2457,0.721 Earths,13.699,2016
Kepler-1365 b,2740,0.721 Earths,13.417,2016
Kepler-1367 b,1310,0.721 Earths,16.012,2016
Kepler-779 b,924,0.721 Earths,16.303,2016
HAT-P-68 b,659,0.724 Jupiters,13.802,2020
Kepler-245 c,2810,0.71 Jupiters,15.546,2014
WASP-35 b,660,0.71 Jupiters,10.939,2011
KMT-2017-BLG-1146L b,21203,0.71 Jupiters,,2019
Kepler-119 c,2290,0.721 Earths,14.375,2014
Kepler-1607 b,4195,0.721 Earths,13.969,2016
Kepler-1338 b,2457,0.721 Earths,13.699,2016
Kepler-1365 b,2740,0.721 Earths,13.417,2016
Kepler-1367 b,1310,0.721 Earths,16.012,2016
Kepler-779 b,924,0.721 Earths,16.303,2016
HAT-P-68 b,659,0.724 Jupiters,13.802,2020
OGLE-2006-BLG-109L b,4926,0.727 Jupiters,,2008
WASP-81 b,1300,0.729 Jupiters,12.469,2017
CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
WASP-74 b,487,0.72 Jupiters,9.75,2015
OGLE-2015-BLG-0051L b,26748,0.72 Jupiters,,2016
BD+55 362 b,171,0.72 Jupiters,9.38,2021
Wendelstein-2 b,1845,0.731 Jupiters,16.186,2020
Qatar-10 b,1824,0.736 Jupiters,12.868,2019
K2-29 b,582,0.73 Jupiters,12.532,2016
HD 207832 c,192,0.73 Jupiters,8.78,2012
OGLE-2006-BLG-109L b,4926,0.727 Jupiters,,2008
WASP-81 b,1300,0.729 Jupiters,12.469,2017
CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
WASP-74 b,487,0.72 Jupiters,9.75,2015
OGLE-2015-BLG-0051L b,26748,0.72 Jupiters,,2016
BD+55 362 b,171,0.72 Jupiters,9.38,2021
Wendelstein-2 b,1845,0.731 Jupiters,16.186,2020
Qatar-10 b,1824,0.736 Jupiters,12.868,2019
K2-29 b,582,0.73 Jupiters,12.532,2016
HD 207832 c,192,0.73 Jupiters,8.78,2012
OGLE-2006-BLG-109L b,4926,0.727 Jupiters,,2008
WASP-81 b,1300,0.729 Jupiters,12.469,2017
CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
WASP-74 b,487,0.72 Jupiters,9.75,2015
OGLE-2015-BLG-0051L b,26748,0.72 Jupiters,,2016
BD+55 362 b,171,0.72 Jupiters,9.38,2021
Wendelstein-2 b,1845,0.731 Jupiters,16.186,2020
Qatar-10 b,1824,0.736 Jupiters,12.868,2019
K2-29 b,582,0.73 Jupiters,12.532,2016
HD 207832 c,192,0.73 Jupiters,8.78,2012
HD 209458 b,158,0.73 Jupiters,7.65,1999
Kepler-1505 b,1615,0.749 Earths,13.043,2016
Kepler-1387 b,1485,0.749 Earths,14.727,2016
Kepler-1421 b,2555,0.749 Earths,12.868,2016
Kepler-398 b,579,0.749 Earths,13.499,2014
HAT-P-9 b,1485,0.749 Jupiters,12.344,2008
NGTS-2 b,1163,0.74 Jupiters,10.789,2018
HD 156411 b,185,0.74 Jupiters,6.67,2009
NGTS-15 b,2566,0.751 Jupiters,14.669,2021
YZ Ceti b,12,0.75 Earths,12.074,2017
HAT-P-24 b,1355,0.75 Jupiters,11.762,2010
OGLE-2017-BLG-1522L b,24432,0.75 Jupiters,,2018
HD 124330 b,196,0.75 Jupiters,7.88,2021
HD 155193 b,189,0.75 Jupiters,7.0092,2021
HAT-P-62 b,1138,0.761 Jupiters,12.539,2021
NGTS-17 b,3393,0.764 Jupiters,14.412,2021
HATS-51 b,1271,0.768 Jupiters,12.525,2017
HD 159868 c,182,0.768 Jupiters,7.24,2012
HAT-P-54 b,469,0.76 Jupiters,13.398,2015
HATS-54 b,2442,0.76 Jupiters,13.937,2019
HAT-P-24 b,1355,0.75 Jupiters,11.762,2010
OGLE-2017-BLG-1522L b,24432,0.75 Jupiters,,2018
HD 124330 b,196,0.75 Jupiters,7.88,2021
HD 155193 b,189,0.75 Jupiters,7.0092,2021
HAT-P-62 b,1138,0.761 Jupiters,12.539,2021
NGTS-17 b,3393,0.764 Jupiters,14.412,2021
HATS-51 b,1271,0.768 Jupiters,12.525,2017
HD 159868 c,182,0.768 Jupiters,7.24,2012
HAT-P-54 b,469,0.76 Jupiters,13.398,2015
HATS-54 b,2442,0.76 Jupiters,13.937,2019
HAT-P-24 b,1355,0.75 Jupiters,11.762,2010
OGLE-2017-BLG-1522L b,24432,0.75 Jupiters,,2018
HD 124330 b,196,0.75 Jupiters,7.88,2021
HD 155193 b,189,0.75 Jupiters,7.0092,2021
HAT-P-62 b,1138,0.761 Jupiters,12.539,2021
NGTS-17 b,3393,0.764 Jupiters,14.412,2021
HATS-51 b,1271,0.768 Jupiters,12.525,2017
HD 159868 c,182,0.768 Jupiters,7.24,2012
HAT-P-54 b,469,0.76 Jupiters,13.398,2015
HATS-54 b,2442,0.76 Jupiters,13.937,2019
K2-290 c,890,0.774 Jupiters,11.114,2019
Kepler-1438 b,3765,0.779 Earths,14.983,2016
Kepler-1572 b,3088,0.779 Earths,13.879,2016
Kepler-1425 b,2818,0.779 Earths,13.681,2016
Kepler-1169 b,1705,0.779 Earths,12.707,2016
Kepler-128 b,1293,0.77 Earths,11.693,2013
OGLE-2018-BLG-1428L b,20290,0.77 Jupiters,,2021
HD 163607 b,221,0.7836 Jupiters,8,2010
HAT-P-66 b,3051,0.783 Jupiters,13.014,2016
HIP 65407 c,202,0.784 Jupiters,9.38,2016
K2-290 c,890,0.774 Jupiters,11.114,2019
Kepler-1438 b,3765,0.779 Earths,14.983,2016
Kepler-1572 b,3088,0.779 Earths,13.879,2016
Kepler-1425 b,2818,0.779 Earths,13.681,2016
Kepler-1169 b,1705,0.779 Earths,12.707,2016
Kepler-128 b,1293,0.77 Earths,11.693,2013
OGLE-2018-BLG-1428L b,20290,0.77 Jupiters,,2021
HD 163607 b,221,0.7836 Jupiters,8,2010
HAT-P-66 b,3051,0.783 Jupiters,13.014,2016
HIP 65407 c,202,0.784 Jupiters,9.38,2016
HATS-45 b,2519,0.7 Jupiters,13.325,2018
HD 9446 b,164,0.7 Jupiters,8.35,2009
HD 224693 b,305,0.7 Jupiters,8.23,2006
HD 32963 b,124,0.7 Jupiters,7.6,2015
V830 Tauri b,424,0.7 Jupiters,12.23,2016
WASP-92 b,1879,0.805 Jupiters,12.951,2016
HATS-59 b,2097,0.806 Jupiters,14.033,2018
Kepler-1598 b,2022,0.809 Earths,13.929,2016
Kepler-1049 b,528,0.809 Earths,14.695,2016
Kepler-271 c,1320,0.809 Earths,13.578,2014
HATS-45 b,2519,0.7 Jupiters,13.325,2018
HD 9446 b,164,0.7 Jupiters,8.35,2009
HD 224693 b,305,0.7 Jupiters,8.23,2006
HD 32963 b,124,0.7 Jupiters,7.6,2015
V830 Tauri b,424,0.7 Jupiters,12.23,2016
WASP-92 b,1879,0.805 Jupiters,12.951,2016
HATS-59 b,2097,0.806 Jupiters,14.033,2018
Kepler-1598 b,2022,0.809 Earths,13.929,2016
Kepler-1049 b,528,0.809 Earths,14.695,2016
Kepler-271 c,1320,0.809 Earths,13.578,2014
HATS-45 b,2519,0.7 Jupiters,13.325,2018
HD 9446 b,164,0.7 Jupiters,8.35,2009
HD 224693 b,305,0.7 Jupiters,8.23,2006
HD 32963 b,124,0.7 Jupiters,7.6,2015
V830 Tauri b,424,0.7 Jupiters,12.23,2016
WASP-92 b,1879,0.805 Jupiters,12.951,2016
HATS-59 b,2097,0.806 Jupiters,14.033,2018
Kepler-1598 b,2022,0.809 Earths,13.929,2016
Kepler-1049 b,528,0.809 Earths,14.695,2016
Kepler-271 c,1320,0.809 Earths,13.578,2014
HATS-45 b,2519,0.7 Jupiters,13.325,2018
HD 9446 b,164,0.7 Jupiters,8.35,2009
HD 224693 b,305,0.7 Jupiters,8.23,2006
HD 32963 b,124,0.7 Jupiters,7.6,2015
V830 Tauri b,424,0.7 Jupiters,12.23,2016
WASP-92 b,1879,0.805 Jupiters,12.951,2016
HATS-59 b,2097,0.806 Jupiters,14.033,2018
Kepler-1598 b,2022,0.809 Earths,13.929,2016
Kepler-1049 b,528,0.809 Earths,14.695,2016
Kepler-271 c,1320,0.809 Earths,13.578,2014
HATS-45 b,2519,0.7 Jupiters,13.325,2018
HD 9446 b,164,0.7 Jupiters,8.35,2009
HD 224693 b,305,0.7 Jupiters,8.23,2006
HD 32963 b,124,0.7 Jupiters,7.6,2015
V830 Tauri b,424,0.7 Jupiters,12.23,2016
WASP-92 b,1879,0.805 Jupiters,12.951,2016
HATS-59 b,2097,0.806 Jupiters,14.033,2018
Kepler-1598 b,2022,0.809 Earths,13.929,2016
Kepler-1049 b,528,0.809 Earths,14.695,2016
Kepler-271 c,1320,0.809 Earths,13.578,2014
K2-315 b,186,0.809 Earths,17.67,2020
NGTS-1 b,712,0.812 Jupiters,15.667,2017
HAT-P-52 b,1178,0.818 Jupiters,14.107,2015
Kepler-91 b,4223,0.81 Jupiters,12.712,2013
Lupus-TR-3 b,2523,0.81 Jupiters,19.6202,2007
HD 4208 b,112,0.81 Jupiters,7.783,2001
HATS-65 b,1609,0.821 Jupiters,12.679,2018
HD 114729 b,123,0.825 Jupiters,6.68,2002
GJ 179 b,40,0.82 Jupiters,11.963,2009
HD 34445 b,150,0.82 Jupiters,7.31,2009
HD 134987 c,85,0.82 Jupiters,6.47,2009
HD 154345 b,60,0.82 Jupiters,6.76,2006
HD 155358 c,142,0.82 Jupiters,7.28,2007
Kepler-65 e,991,0.82 Jupiters,10.922,2019
55 Cancri b,41,0.8306 Jupiters,5.95084,1996
HD 187085 b,150,0.836 Jupiters,7.22,2006
HATS-9 b,2083,0.837 Jupiters,13.256,2015
HAT-P-30 b,698,0.83 Jupiters,10.352,2011
HATS-11 b,3081,0.83 Jupiters,14.06,2016
XO-1 b,534,0.83 Jupiters,11.251,2006
MOA-2007-BLG-400L b,18920,0.83 Jupiters,,2008
Kepler-68 d,470,0.84007 Jupiters,10.077,2013
Kepler-1445 b,1652,0.84 Earths,12.407,2016
Kepler-1650 b,438,0.84 Earths,17.07,2017
Kepler-399 b,2416,0.84 Earths,14.686,2014
Kepler-524 c,3452,0.84 Earths,14.082,2016
GJ 9827 c,97,0.84 Earths,10.37,2017
EPIC 206317286 b,1025,0.84 Earths,14.005,2019
Kepler-435 b,4628,0.84 Jupiters,13.704,2015
CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
WASP-142 b,2384,0.84 Jupiters,12.871,2016
K2-107 b,2235,0.84 Jupiters,13.012,2017
K2-115 b,1349,0.84 Jupiters,13.444,2017
TrES-1 b,521,0.84 Jupiters,11.424,2004
CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
HD 136925 b,156,0.84 Jupiters,7.91433,2021
HAT-P-13 b,805,0.851 Jupiters,10.421,2009
TOI-1478 b,499,0.851 Jupiters,10.723,2021
WASP-1 b,1282,0.854 Jupiters,11.308,2007
WASP-176 b,1854,0.855 Jupiters,12.006,2020
WASP-142 b,2384,0.84 Jupiters,12.871,2016
K2-107 b,2235,0.84 Jupiters,13.012,2017
K2-115 b,1349,0.84 Jupiters,13.444,2017
TrES-1 b,521,0.84 Jupiters,11.424,2004
CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
HD 136925 b,156,0.84 Jupiters,7.91433,2021
HAT-P-13 b,805,0.851 Jupiters,10.421,2009
TOI-1478 b,499,0.851 Jupiters,10.723,2021
WASP-1 b,1282,0.854 Jupiters,11.308,2007
WASP-176 b,1854,0.855 Jupiters,12.006,2020
CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
WASP-41 b,533,0.85 Jupiters,11.632,2012
WASP-79 b,805,0.85 Jupiters,10.044,2012
WASP-26 b,824,0.85 Jupiters,11.297,2010
HD 148156 b,186,0.85 Jupiters,7.69,2009
WASP-59 b,378,0.863 Jupiters,12.659,2012
HD 13908 b,259,0.865 Jupiters,7.52,2013
OGLE-2012-BLG-0026L c,13110,0.86 Jupiters,20.66,2012
K2-238 b,1755,0.86 Jupiters,13.973,2018
HD 109246 b,221,0.86 Jupiters,8.751,2010
CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
WASP-41 b,533,0.85 Jupiters,11.632,2012
WASP-79 b,805,0.85 Jupiters,10.044,2012
WASP-26 b,824,0.85 Jupiters,11.297,2010
HD 148156 b,186,0.85 Jupiters,7.69,2009
WASP-59 b,378,0.863 Jupiters,12.659,2012
HD 13908 b,259,0.865 Jupiters,7.52,2013
OGLE-2012-BLG-0026L c,13110,0.86 Jupiters,20.66,2012
K2-238 b,1755,0.86 Jupiters,13.973,2018
HD 109246 b,221,0.86 Jupiters,8.751,2010
CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
WASP-41 b,533,0.85 Jupiters,11.632,2012
WASP-79 b,805,0.85 Jupiters,10.044,2012
WASP-26 b,824,0.85 Jupiters,11.297,2010
HD 148156 b,186,0.85 Jupiters,7.69,2009
WASP-59 b,378,0.863 Jupiters,12.659,2012
HD 13908 b,259,0.865 Jupiters,7.52,2013
OGLE-2012-BLG-0026L c,13110,0.86 Jupiters,20.66,2012
K2-238 b,1755,0.86 Jupiters,13.973,2018
HD 109246 b,221,0.86 Jupiters,8.751,2010
CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
WASP-41 b,533,0.85 Jupiters,11.632,2012
WASP-79 b,805,0.85 Jupiters,10.044,2012
WASP-26 b,824,0.85 Jupiters,11.297,2010
HD 148156 b,186,0.85 Jupiters,7.69,2009
WASP-59 b,378,0.863 Jupiters,12.659,2012
HD 13908 b,259,0.865 Jupiters,7.52,2013
OGLE-2012-BLG-0026L c,13110,0.86 Jupiters,20.66,2012
K2-238 b,1755,0.86 Jupiters,13.973,2018
HD 109246 b,221,0.86 Jupiters,8.751,2010
24 Sextantis c,235,0.86 Jupiters,6.4535,2010
Kepler-1443 b,1936,0.871 Earths,12.313,2016
Kepler-1285 b,1377,0.871 Earths,11.717,2016
Kepler-1293 b,3354,0.871 Earths,13.377,2016
Kepler-1297 b,4696,0.871 Earths,14.867,2016
WASP-44 b,1189,0.87 Jupiters,13.096,2011
HD 17674 b,145,0.87 Jupiters,7.535,2017
7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
WASP-23 b,677,0.884 Jupiters,12.539,2010
HAT-P-29 b,1023,0.88 Jupiters,11.825,2011
24 Sextantis c,235,0.86 Jupiters,6.4535,2010
Kepler-1443 b,1936,0.871 Earths,12.313,2016
Kepler-1285 b,1377,0.871 Earths,11.717,2016
Kepler-1293 b,3354,0.871 Earths,13.377,2016
Kepler-1297 b,4696,0.871 Earths,14.867,2016
WASP-44 b,1189,0.87 Jupiters,13.096,2011
HD 17674 b,145,0.87 Jupiters,7.535,2017
7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
WASP-23 b,677,0.884 Jupiters,12.539,2010
HAT-P-29 b,1023,0.88 Jupiters,11.825,2011
HATS-31 b,2525,0.88 Jupiters,13.315,2016
OGLE-2011-BLG-0265L b,14288,0.88 Jupiters,,2015
TOI-640 b,1116,0.88 Jupiters,10.51,2021
HAT-P-45 b,974,0.892 Jupiters,12.783,2014
WASP-123 b,646,0.899 Jupiters,11.03,2016
HD 128356 b,85,0.89 Jupiters,8.2411,2016
WASP-145 A b,298,0.89 Jupiters,11.636,2018
Kepler-23 b,2726,0.8 Jupiters,13.567,2011
WASP-48 b,1481,0.8 Jupiters,11.647,2011
Kepler-90g,2767,0.8 Jupiters,13.883,2013
24 Bootis b,313,0.91 Jupiters,5.59,2018
HATS-55 b,1989,0.921 Jupiters,13.525,2019
WASP-98 b,919,0.922 Jupiters,13.252,2014
HAT-P-33 b,1292,0.92 Jupiters,11.032,2011
WASP-76 b,634,0.92 Jupiters,9.518,2016
HATS-32 b,2431,0.92 Jupiters,14.386,2016
WASP-2 b,500,0.931 Jupiters,11.728,2007
HD 1605 b,290,0.934 Jupiters,7.52,2015
Kepler-969 c,1273,0.937 Earths,13.865,2016
Kepler-381 b,872,0.937 Earths,10.47,2014
24 Bootis b,313,0.91 Jupiters,5.59,2018
HATS-55 b,1989,0.921 Jupiters,13.525,2019
WASP-98 b,919,0.922 Jupiters,13.252,2014
HAT-P-33 b,1292,0.92 Jupiters,11.032,2011
WASP-76 b,634,0.92 Jupiters,9.518,2016
HATS-32 b,2431,0.92 Jupiters,14.386,2016
WASP-2 b,500,0.931 Jupiters,11.728,2007
HD 1605 b,290,0.934 Jupiters,7.52,2015
Kepler-969 c,1273,0.937 Earths,13.865,2016
Kepler-381 b,872,0.937 Earths,10.47,2014
24 Bootis b,313,0.91 Jupiters,5.59,2018
HATS-55 b,1989,0.921 Jupiters,13.525,2019
WASP-98 b,919,0.922 Jupiters,13.252,2014
HAT-P-33 b,1292,0.92 Jupiters,11.032,2011
WASP-76 b,634,0.92 Jupiters,9.518,2016
HATS-32 b,2431,0.92 Jupiters,14.386,2016
WASP-2 b,500,0.931 Jupiters,11.728,2007
HD 1605 b,290,0.934 Jupiters,7.52,2015
Kepler-969 c,1273,0.937 Earths,13.865,2016
Kepler-381 b,872,0.937 Earths,10.47,2014
24 Bootis b,313,0.91 Jupiters,5.59,2018
HATS-55 b,1989,0.921 Jupiters,13.525,2019
WASP-98 b,919,0.922 Jupiters,13.252,2014
HAT-P-33 b,1292,0.92 Jupiters,11.032,2011
WASP-76 b,634,0.92 Jupiters,9.518,2016
HATS-32 b,2431,0.92 Jupiters,14.386,2016
WASP-2 b,500,0.931 Jupiters,11.728,2007
HD 1605 b,290,0.934 Jupiters,7.52,2015
Kepler-969 c,1273,0.937 Earths,13.865,2016
Kepler-381 b,872,0.937 Earths,10.47,2014
24 Bootis b,313,0.91 Jupiters,5.59,2018
HATS-55 b,1989,0.921 Jupiters,13.525,2019
WASP-98 b,919,0.922 Jupiters,13.252,2014
HAT-P-33 b,1292,0.92 Jupiters,11.032,2011
WASP-76 b,634,0.92 Jupiters,9.518,2016
HATS-32 b,2431,0.92 Jupiters,14.386,2016
WASP-2 b,500,0.931 Jupiters,11.728,2007
HD 1605 b,290,0.934 Jupiters,7.52,2015
Kepler-969 c,1273,0.937 Earths,13.865,2016
Kepler-381 b,872,0.937 Earths,10.47,2014
24 Bootis b,313,0.91 Jupiters,5.59,2018
HATS-55 b,1989,0.921 Jupiters,13.525,2019
WASP-98 b,919,0.922 Jupiters,13.252,2014
HAT-P-33 b,1292,0.92 Jupiters,11.032,2011
WASP-76 b,634,0.92 Jupiters,9.518,2016
HATS-32 b,2431,0.92 Jupiters,14.386,2016
WASP-2 b,500,0.931 Jupiters,11.728,2007
HD 1605 b,290,0.934 Jupiters,7.52,2015
Kepler-969 c,1273,0.937 Earths,13.865,2016
Kepler-381 b,872,0.937 Earths,10.47,2014
Kepler-1047 c,2667,0.937 Earths,13.46,2016
K2-136 b,193,0.937 Earths,11.101,2017
KELT-23 A b,412,0.938 Jupiters,10.308,2019
K2-140 b,1135,0.93 Jupiters,12.727,2017
HD 113538 c,53,0.93 Jupiters,9.05,2010
NGTS-8 b,1399,0.93 Jupiters,13.69,2019
HATS-34 b,1660,0.941 Jupiters,13.857,2016
Kepler-412 b,3543,0.941 Jupiters,14.399,2014
HD 10647 b,57,0.94 Jupiters,5.52,2006
KELT-12 b,1201,0.95 Jupiters,10.585,2017
Kepler-1047 c,2667,0.937 Earths,13.46,2016
K2-136 b,193,0.937 Earths,11.101,2017
KELT-23 A b,412,0.938 Jupiters,10.308,2019
K2-140 b,1135,0.93 Jupiters,12.727,2017
HD 113538 c,53,0.93 Jupiters,9.05,2010
NGTS-8 b,1399,0.93 Jupiters,13.69,2019
HATS-34 b,1660,0.941 Jupiters,13.857,2016
Kepler-412 b,3543,0.941 Jupiters,14.399,2014
HD 10647 b,57,0.94 Jupiters,5.52,2006
KELT-12 b,1201,0.95 Jupiters,10.585,2017
Kepler-1047 c,2667,0.937 Earths,13.46,2016
K2-136 b,193,0.937 Earths,11.101,2017
KELT-23 A b,412,0.938 Jupiters,10.308,2019
K2-140 b,1135,0.93 Jupiters,12.727,2017
HD 113538 c,53,0.93 Jupiters,9.05,2010
NGTS-8 b,1399,0.93 Jupiters,13.69,2019
HATS-34 b,1660,0.941 Jupiters,13.857,2016
Kepler-412 b,3543,0.941 Jupiters,14.399,2014
HD 10647 b,57,0.94 Jupiters,5.52,2006
KELT-12 b,1201,0.95 Jupiters,10.585,2017
HD 108874 c,194,0.99 Jupiters,8.76,2005
HD 155358 b,142,0.99 Jupiters,7.28,2007
WASP-175 b,1759,0.99 Jupiters,12.959,2019
TOI-1601 b,1098,0.99 Jupiters,10.66,2021
Kepler-128 c,1293,0.9 Earths,11.693,2013
GJ 849 b,29,0.9 Jupiters,10.41,2006
WASP-180 A b,828,0.9 Jupiters,10.655,2019
Kepler-20 d,922,10.07 Earths,12.61,2011
HD 17092 b,745,10.13 Jupiters,7.732,2007
HD 106270 b,306,10.13 Jupiters,7.58,2011
TOI-1062 b,268,10.15 Earths,10.249,2021
HD 202772 A b,527,1.017 Jupiters,8.324,2019
EPIC 249893012 d,1048,10.18 Earths,11.429,2020
Kepler-1482 b,1851,1.01 Earths,13.967,2016
Kepler-1081 b,1371,1.01 Earths,13.827,2016
K2-72 d,217,1.01 Earths,15.37,2016
K2-85 b,317,1.01 Earths,12.416,2016
Kepler-1278 b,2901,1.01 Earths,13.782,2016
Kepler-322 b,1306,1.01 Earths,13.687,2014
Kepler-398 c,579,1.01 Earths,13.499,2014
TOI-1062 b,268,10.15 Earths,10.249,2021
HD 202772 A b,527,1.017 Jupiters,8.324,2019
EPIC 249893012 d,1048,10.18 Earths,11.429,2020
Kepler-1482 b,1851,1.01 Earths,13.967,2016
Kepler-1081 b,1371,1.01 Earths,13.827,2016
K2-72 d,217,1.01 Earths,15.37,2016
K2-85 b,317,1.01 Earths,12.416,2016
Kepler-1278 b,2901,1.01 Earths,13.782,2016
Kepler-322 b,1306,1.01 Earths,13.687,2014
Kepler-398 c,579,1.01 Earths,13.499,2014
TOI-1062 b,268,10.15 Earths,10.249,2021
HD 202772 A b,527,1.017 Jupiters,8.324,2019
EPIC 249893012 d,1048,10.18 Earths,11.429,2020
Kepler-1482 b,1851,1.01 Earths,13.967,2016
Kepler-1081 b,1371,1.01 Earths,13.827,2016
K2-72 d,217,1.01 Earths,15.37,2016
K2-85 b,317,1.01 Earths,12.416,2016
Kepler-1278 b,2901,1.01 Earths,13.782,2016
Kepler-322 b,1306,1.01 Earths,13.687,2014
Kepler-398 c,579,1.01 Earths,13.499,2014
TOI-1062 b,268,10.15 Earths,10.249,2021
HD 202772 A b,527,1.017 Jupiters,8.324,2019
EPIC 249893012 d,1048,10.18 Earths,11.429,2020
Kepler-1482 b,1851,1.01 Earths,13.967,2016
Kepler-1081 b,1371,1.01 Earths,13.827,2016
K2-72 d,217,1.01 Earths,15.37,2016
K2-85 b,317,1.01 Earths,12.416,2016
Kepler-1278 b,2901,1.01 Earths,13.782,2016
Kepler-322 b,1306,1.01 Earths,13.687,2014
Kepler-398 c,579,1.01 Earths,13.499,2014
GJ 160.2 b,84,10.2 Earths,9.7,2014
Kepler-87 b,4022,1.02 Jupiters,14.681,2013
HD 88133 b,240,1.02 Jupiters,8.01852,2004
Gamma Librae b,155,1.02 Jupiters,3.90672,2018
KOI-3503 c,2894,10.36 Earths,13.831,2021
TRAPPIST-1 f,41,1.039 Earths,17.02,2017
CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
HD 219077 b,95,10.39 Jupiters,6.12,2012
Kepler-1649 b,301,1.03 Earths,17.95,2017
Kepler-188 c,3159,10.3 Earths,14.719,2014
GJ 160.2 b,84,10.2 Earths,9.7,2014
